exp_num,gamma,doRewardMinus,doProbMinus,lr,hid_dim,objective
2,0.1,True,False,0.0005,256,19603016.0
3,0.1,True,False,0.0005,256,20099360.0
4,0.1,True,False,0.0005,256,19465290.0
5,0.1,True,False,0.0005,256,19851884.0
6,0.1,True,False,0.0005,256,19464508.0
7,0.1,True,False,0.0005,256,17782406.0
8,0.1,True,False,0.0005,256,19261328.0
9,0.1,True,False,0.0005,256,18097826.0
10,0.1,True,False,0.0005,256,20359780.0
11,0.1,True,False,0.0005,256,18553050.0
12,0.1,True,False,0.0005,256,18088376.0
13,0.1,True,False,0.0005,256,18404466.0
14,0.1,True,False,0.0005,256,18572446.0
15,0.1,True,False,0.0005,256,18514504.0
16,0.1,True,False,0.0005,256,17911316.0
17,0.1,True,False,0.0005,256,16629926.0
18,0.1,True,False,0.0005,256,19784382.0
19,0.1,True,False,0.0005,256,18464420.0
0,0.1,True,False,0.001,64,21700928.0
1,0.1,True,False,0.001,64,18745512.0
2,0.1,True,False,0.001,64,19646488.0
3,0.1,True,False,0.001,64,20085812.0
4,0.1,True,False,0.001,64,19459900.0
5,0.1,True,False,0.001,64,19847474.0
6,0.1,True,False,0.001,64,19438636.0
7,0.1,True,False,0.001,64,17746490.0
8,0.1,True,False,0.001,64,19248476.0
9,0.1,True,False,0.001,64,18059274.0
10,0.1,True,False,0.001,64,20349504.0
11,0.1,True,False,0.001,64,18540788.0
12,0.1,True,False,0.001,64,18079652.0
13,0.1,True,False,0.001,64,18395790.0
14,0.1,True,False,0.001,64,18557652.0
15,0.1,True,False,0.001,64,18539220.0
16,0.1,True,False,0.001,64,17936232.0
17,0.1,True,False,0.001,64,16626331.0
18,0.1,True,False,0.001,64,19775238.0
19,0.1,True,False,0.001,64,18436460.0
0,0.1,True,False,0.001,128,21707598.0
1,0.1,True,False,0.001,128,18775480.0
2,0.1,True,False,0.001,128,19628488.0
3,0.1,True,False,0.001,128,20102920.0
4,0.1,True,False,0.001,128,19462236.0
5,0.1,True,False,0.001,128,19882872.0
6,0.1,True,False,0.001,128,19437992.0
7,0.1,True,False,0.001,128,17757576.0
8,0.1,True,False,0.001,128,19223014.0
9,0.1,True,False,0.001,128,18092152.0
10,0.1,True,False,0.001,128,20356548.0
11,0.1,True,False,0.001,128,18554172.0
12,0.1,True,False,0.001,128,18074116.0
13,0.1,True,False,0.001,128,18382252.0
14,0.1,True,False,0.001,128,18566332.0
15,0.1,True,False,0.001,128,18548680.0
16,0.1,True,False,0.001,128,17901344.0
17,0.1,True,False,0.001,128,16612648.0
18,0.1,True,False,0.001,128,19764616.0
19,0.1,True,False,0.001,128,18454428.0
0,0.1,True,False,0.001,256,21727916.0
1,0.1,True,False,0.001,256,18771952.0
2,0.1,True,False,0.001,256,19636754.0
3,0.1,True,False,0.001,256,20099404.0
4,0.1,True,False,0.001,256,19463048.0
5,0.1,True,False,0.001,256,19898182.0
6,0.1,True,False,0.001,256,19454048.0
7,0.1,True,False,0.001,256,17794568.0
8,0.1,True,False,0.001,256,19256110.0
9,0.1,True,False,0.001,256,18098380.0
10,0.1,True,False,0.001,256,20350156.0
11,0.1,True,False,0.001,256,18520364.0
12,0.1,True,False,0.001,256,18098468.0
13,0.1,True,False,0.001,256,18423384.0
14,0.1,True,False,0.001,256,18580936.0
15,0.1,True,False,0.001,256,18532404.0
16,0.1,True,False,0.001,256,17951464.0
17,0.1,True,False,0.001,256,16683929.0
18,0.1,True,False,0.001,256,19815106.0
19,0.1,True,False,0.001,256,18442106.0
